,coffee,date,value
0,coffee,2024-09-01,278.760476190476
1,coffee,2024-08-01,261.437727272727
2,coffee,2024-07-01,257.098695652174
3,coffee,2024-06-01,248.405
4,coffee,2024-05-01,232.342608695652
5,coffee,2024-04-01,239.866363636364
6,coffee,2024-03-01,208.913333333333
7,coffee,2024-02-01,208.783333333333
8,coffee,2024-01-01,203.879130434783
9,coffee,2023-12-01,210.310476190476
10,coffee,2023-11-01,197.433181818182
11,coffee,2023-10-01,183.951363636364
12,coffee,2023-09-01,183.589047619048
13,coffee,2023-08-01,186.346956521739
14,coffee,2023-07-01,193.494285714286
15,coffee,2023-06-01,207.385
16,coffee,2023-05-01,220.121304347826
17,coffee,2023-04-01,229.9555
18,coffee,2023-03-01,222.663913043478
19,coffee,2023-02-01,229.506
20,coffee,2023-01-01,206.76
21,coffee,2022-12-01,210.388636363636
22,coffee,2022-11-01,213.718181818182
23,coffee,2022-10-01,240.082380952381
24,coffee,2022-09-01,267.492272727273
25,coffee,2022-08-01,268.48347826087
26,coffee,2022-07-01,255.906666666667
27,coffee,2022-06-01,273.763636363636
28,coffee,2022-05-01,260.449545454545
29,coffee,2022-04-01,265.397619047619
30,coffee,2022-03-01,258.99347826087
31,coffee,2022-02-01,279.8335
32,coffee,2022-01-01,271.081428571429
33,coffee,2021-12-01,268.329130434783
34,coffee,2021-11-01,258.978181818182
35,coffee,2021-10-01,241.073333333333
36,coffee,2021-09-01,225.536818181818
37,coffee,2021-08-01,216.434545454545
38,coffee,2021-07-01,204.500909090909
39,coffee,2021-06-01,192.064545454545
40,coffee,2021-05-01,186.462857142857
41,coffee,2021-04-01,168.648636363636
42,coffee,2021-03-01,167.050869565217
43,coffee,2021-02-01,166.429
44,coffee,2021-01-01,160.819523809524
45,coffee,2020-12-01,157.952608695652
46,coffee,2020-11-01,150.726190476191
47,coffee,2020-10-01,152.056818181818
48,coffee,2020-09-01,166.564545454545
49,coffee,2020-08-01,163.071428571429
50,coffee,2020-07-01,146.780869565217
51,coffee,2020-06-01,141.52
52,coffee,2020-05-01,149.91619047619
53,coffee,2020-04-01,154.630454545455
54,coffee,2020-03-01,148.327272727273
55,coffee,2020-02-01,135.5005
56,coffee,2020-01-01,142.93652173913
57,coffee,2019-12-01,156.029090909091
58,coffee,2019-11-01,140.981428571429
59,coffee,2019-10-01,127.051304347826
60,coffee,2019-09-01,128.894285714286
61,coffee,2019-08-01,126.279545454545
62,coffee,2019-07-01,135.470434782609
63,coffee,2019-06-01,129.7235
64,coffee,2019-05-01,120.549130434783
65,coffee,2019-04-01,120.990454545455
66,coffee,2019-03-01,123.888571428571
67,coffee,2019-02-01,128.454
68,coffee,2019-01-01,128.357391304348
69,coffee,2018-12-01,127.058571428571
70,coffee,2018-11-01,137.107727272727
71,coffee,2018-10-01,137.341739130435
72,coffee,2018-09-01,121.18
73,coffee,2018-08-01,125.210869565217
74,coffee,2018-07-01,130.598636363636
75,coffee,2018-06-01,134.03380952381
76,coffee,2018-05-01,135.609565217391
77,coffee,2018-04-01,134.339523809524
78,coffee,2018-03-01,134.939090909091
79,coffee,2018-02-01,136.2835
80,coffee,2018-01-01,138.876086956522
81,coffee,2017-12-01,137.30619047619
82,coffee,2017-11-01,140.904090909091
83,coffee,2017-10-01,140.709545454545
84,coffee,2017-09-01,146.560476190476
85,coffee,2017-08-01,149.877391304348
86,coffee,2017-07-01,149.802857142857
87,coffee,2017-06-01,143.222727272727
88,coffee,2017-05-01,150
89,coffee,2017-04-01,155.574
90,coffee,2017-03-01,160.150434782609
91,coffee,2017-02-01,166.351
92,coffee,2017-01-01,168.612727272727
93,coffee,2016-12-01,161.780909090909
94,coffee,2016-11-01,184.115454545455
95,coffee,2016-10-01,178.955238095238
96,coffee,2016-09-01,176.295454545455
97,coffee,2016-08-01,167.541304347826
98,coffee,2016-07-01,171.76380952381
99,coffee,2016-06-01,165.452272727273
100,coffee,2016-05-01,155.194545454545
101,coffee,2016-04-01,154.217619047619
102,coffee,2016-03-01,157.631304347826
103,coffee,2016-02-01,147.697142857143
104,coffee,2016-01-01,145.434761904762
105,coffee,2015-12-01,148.612173913044
106,coffee,2015-11-01,147.978571428571
107,coffee,2015-10-01,153.250454545455
108,coffee,2015-09-01,146.146818181818
109,coffee,2015-08-01,156.923333333333
110,coffee,2015-07-01,154.44652173913
111,coffee,2015-06-01,159.755
112,coffee,2015-05-01,158.482857142857
113,coffee,2015-04-01,163.997727272727
114,coffee,2015-03-01,160.735909090909
115,coffee,2015-02-01,178.8885
116,coffee,2015-01-01,189.626363636364
117,coffee,2014-12-01,193.386086956522
118,coffee,2014-11-01,209.376
119,coffee,2014-10-01,225.285652173913
120,coffee,2014-09-01,210.526363636364
121,coffee,2014-08-01,212.965238095238
