,sugar,date,value
0,sugar,2024-09-01,20.6247619047619
1,sugar,2024-08-01,18.4195454545455
2,sugar,2024-07-01,19.3517391304348
3,sugar,2024-06-01,19.1695
4,sugar,2024-05-01,18.7995652173913
5,sugar,2024-04-01,20.6472727272727
6,sugar,2024-03-01,21.7690476190476
7,sugar,2024-02-01,23.3419047619048
8,sugar,2024-01-01,22.4747826086957
9,sugar,2023-12-01,22.1457142857143
10,sugar,2023-11-01,27.3095454545455
11,sugar,2023-10-01,26.9036363636364
12,sugar,2023-09-01,26.5638095238095
13,sugar,2023-08-01,24.1930434782609
14,sugar,2023-07-01,24.0080952380952
15,sugar,2023-06-01,24.7622727272727
16,sugar,2023-05-01,25.7295652173913
17,sugar,2023-04-01,24.582
18,sugar,2023-03-01,20.9617391304348
19,sugar,2023-02-01,21.4035
20,sugar,2023-01-01,19.9431818181818
21,sugar,2022-12-01,20.065
22,sugar,2022-11-01,19.4059090909091
23,sugar,2022-10-01,18.3009523809524
24,sugar,2022-09-01,18.1859090909091
25,sugar,2022-08-01,18.0626086956522
26,sugar,2022-07-01,18.34
27,sugar,2022-06-01,18.7940909090909
28,sugar,2022-05-01,19.2809090909091
29,sugar,2022-04-01,19.6990476190476
30,sugar,2022-03-01,19.1078260869565
31,sugar,2022-02-01,18.2031578947368
32,sugar,2022-01-01,18.461
33,sugar,2021-12-01,19.1672727272727
34,sugar,2021-11-01,19.7461904761905
35,sugar,2021-10-01,19.6190476190476
36,sugar,2021-09-01,19.2642857142857
37,sugar,2021-08-01,19.3836363636364
38,sugar,2021-07-01,17.7147619047619
39,sugar,2021-06-01,17.2140909090909
40,sugar,2021-05-01,17.2033333333333
41,sugar,2021-04-01,16.237619047619
42,sugar,2021-03-01,15.805652173913
43,sugar,2021-02-01,17.0005263157895
44,sugar,2021-01-01,15.9163157894737
45,sugar,2020-12-01,14.6677272727273
46,sugar,2020-11-01,14.9335
47,sugar,2020-10-01,14.2877272727273
48,sugar,2020-09-01,12.4414285714286
49,sugar,2020-08-01,12.8142857142857
50,sugar,2020-07-01,11.9018181818182
51,sugar,2020-06-01,11.8281818181818
52,sugar,2020-05-01,10.641
53,sugar,2020-04-01,10.0519047619048
54,sugar,2020-03-01,11.805
55,sugar,2020-02-01,15.0710526315789
56,sugar,2020-01-01,14.1666666666667
57,sugar,2019-12-01,13.3352380952381
58,sugar,2019-11-01,12.687
59,sugar,2019-10-01,12.4573913043478
60,sugar,2019-09-01,11.158
61,sugar,2019-08-01,11.5554545454546
62,sugar,2019-07-01,12.1286363636364
63,sugar,2019-06-01,12.4395
64,sugar,2019-05-01,11.825
