index,date,value
index,2017-09-01,114.09346486128
index,2017-08-01,111.044240889913
index,2017-07-01,108.228429724116
index,2017-06-01,105.675238726499
index,2017-05-01,108.927676016284
index,2017-04-01,111.112790999156
index,2017-03-01,110.842228738389
index,2017-02-01,116.331460765317
index,2017-01-01,115.704869800857
index,2016-12-01,111.463587626653
index,2016-11-01,105.525639224854
index,2016-10-01,106.720403357688
index,2016-09-01,103.17943979476
index,2016-08-01,103.156242149091
index,2016-07-01,102.794468094437
index,2016-06-01,103.515057896825
index,2016-05-01,100.832288233466
index,2016-04-01,96.9279430586823
index,2016-03-01,93.5966567628088
index,2016-02-01,87.0150888635958
index,2016-01-01,85.2731849371398
index,2015-12-01,90.5728796066738
index,2015-11-01,96.0093230576381
index,2015-10-01,102.040725243686
index,2015-09-01,101.881826679377
index,2015-08-01,102.354659760561
index,2015-07-01,109.327539142244
index,2015-06-01,115.742643374841
index,2015-05-01,118.119367498046
index,2015-04-01,114.580373947608
index,2015-03-01,113.248246566578
index,2015-02-01,117.198881925442
index,2015-01-01,113.974758439255
index,2014-12-01,125.92723660929
index,2014-11-01,139.118864477708
index,2014-10-01,145.765382671243
index,2014-09-01,154.167918007637
index,2014-08-01,159.253727420342
index,2014-07-01,164.797642103171
index,2014-06-01,168.351310351098
index,2014-05-01,168.070779566853
index,2014-04-01,170.105532955183
index,2014-03-01,168.62977360677
index,2014-02-01,169.350272659741
index,2014-01-01,165.526537724477
index,2013-12-01,167.17527927191
index,2013-11-01,163.565587954207
index,2013-10-01,165.397114175621
index,2013-09-01,167.962245671055
index,2013-08-01,168.5851083046
index,2013-07-01,165.994366693682
index,2013-06-01,164.0598227828
index,2013-05-01,166.74340866391
index,2013-04-01,167.819250104005
index,2013-03-01,171.203032018493
index,2013-02-01,175.50395775166
index,2013-01-01,174.027821529619
index,2012-12-01,169.963509713296
index,2012-11-01,169.079559418959
index,2012-10-01,171.236194405048
index,2012-09-01,173.022479627727
index,2012-08-01,171.376777462595
index,2012-07-01,166.486246140197
index,2012-06-01,160.920296994703
index,2012-05-01,171.938519978354
index,2012-04-01,182.596822240735
index,2012-03-01,185.631243934266
index,2012-02-01,181.918468947264
index,2012-01-01,176.456379874451
index,2011-12-01,173.390492144848
index,2011-11-01,176.807901196487
index,2011-10-01,174.898446897193
index,2011-09-01,180.653747319119
index,2011-08-01,183.210643311126
index,2011-07-01,187.88328347747
index,2011-06-01,184.913285745087
index,2011-05-01,186.867635951463
index,2011-04-01,194.306033357694
index,2011-03-01,184.783151963602
index,2011-02-01,178.70444958861
index,2011-01-01,172.458767894064
index,2010-12-01,166.162039399656
index,2010-11-01,157.064601960867
index,2010-10-01,152.207460939239
index,2010-09-01,144.433606285338
index,2010-08-01,141.643776111645
index,2010-07-01,137.843341038294
index,2010-06-01,137.719023925784
index,2010-05-01,140.402469952676
index,2010-04-01,149.313117882383
index,2010-03-01,141.524805511806
index,2010-02-01,136.552742218458
index,2010-01-01,139.839679297432
index,2009-12-01,134.045837287127
index,2009-11-01,131.509059740893
index,2009-10-01,126.645989122524
index,2009-09-01,119.135919568377
index,2009-08-01,122.795871392493
index,2009-07-01,116.328952708189
index,2009-06-01,120.502487414329
index,2009-05-01,111.797397368604
index,2009-04-01,102.904605315295
index,2009-03-01,100.944839840212
index,2009-02-01,100.92348256431
index,2009-01-01,104.427579022121
index,2008-12-01,101.904734420369
index,2008-11-01,114.359339707555
index,2008-10-01,134.788242367655
index,2008-09-01,164.858399692681
index,2008-08-01,179.781378472755
index,2008-07-01,200.808359967538
index,2008-06-01,199.223140422477
index,2008-05-01,190.237107906841
index,2008-04-01,177.796062262196
index,2008-03-01,171.181055223119
index,2008-02-01,161.414167479217
index,2008-01-01,154.383559162106
index,2007-12-01,147.755432401636
index,2007-11-01,147.612174794676
index,2007-10-01,139.447027404245
index,2007-09-01,131.754371003311
index,2007-08-01,125.569045154311
index,2007-07-01,129.619040838954
index,2007-06-01,127.07767879833
index,2007-05-01,126.760826703287
index,2007-04-01,126.426951618491
index,2007-03-01,119.61720550207
index,2007-02-01,116.909043314201
index,2007-01-01,110.892795218448
index,2006-12-01,115.395055956808
index,2006-11-01,113.474580801754
index,2006-10-01,110.698495911314
index,2006-09-01,112.400918147041
index,2006-08-01,122.122935091643
index,2006-07-01,121.47218256652
index,2006-06-01,117.066399201037
index,2006-05-01,119.811486522325
index,2006-04-01,115.604648629511
index,2006-03-01,106.955531141202
index,2006-02-01,106.099284947744
index,2006-01-01,107.805714352905
index,2005-12-01,106.121002250701
index,2005-11-01,101.047521554343
index,2005-10-01,107.012106797995
index,2005-09-01,107.597009494798
index,2005-08-01,103.62105354363
index,2005-07-01,97.7757469683376
index,2005-06-01,95.5070254009748
index,2005-05-01,91.7383810656271
index,2005-04-01,94.1885845775862
index,2005-03-01,94.599555802495
index,2005-02-01,87.4309144203889
index,2005-01-01,85.4687843799749
